Kanji,Furigana,English
亜種,あしゅ,sub-(species)
愛,あい,love
悪い,わるい,bad
安い,やすい,cheap inexpensive
案内,あんない,guide/like a map
以上,いじょう," ""thats all"""
意味,いみ,meaning
一/一つ,いち/ひとつ,one
引く,ひく,pull
店員,てんいん,shop staff
病院,びょういん,hospital
のむ,のむ,to drink
右,みぎ,right
羽,はね,wings
雨,あめ,rain
泳ぐ,およぐ,swim
映画,えいが,movie
駅,えき,station
円,えん,yen
公園,こうえん,public park
汚い,きたない,dirty
王様,おうさま,King
凸凹,でこぼこ,uneven surface
中央,ちゅうおう,Chuo
桜,さくら,cherry blossom
奥さん,おくさん,wife
本屋,ほんや,book shop
億,おく,one hundred million
乙,おとめ,maiden young girl
音/音楽,おと/おんがく,sound/music
温泉,おんせん,onsen
下,した,below
文化,ぶんか,culture
火/火曜日,ひ/かようび,flame/tuesday
何に?,なに?,what?
花,はな,flower
夏,なつ,summer
家,いえ,house
過ぎる,すぎる,too much
歌,うた,song
映画,えいが,movie
回 （ex. 四回）,かい　（ex. よんかい）,times (ex. four times)
会議,かいぎ,meeting
海,うみ,ocean
皆,みんな,everyone
絵,え,picture
開ける/開く,あける/ひらく,to open/to slide open
階,かい,floor
貝,かい,shellfish
外,そと,outside/foreign
角,かど,corner
学校,がっこう,school
楽しい,たのしい,fun
生活,せいかつ,daily life
甘い,あまい,sweet
寒い,さむい,cold
間,かん,length of time
感,かんじ,feeling
漢字,かんじ,Kanji
関西,かんさい,Kansai
図書館,としょかん,Library 
丸,まるい,round
顔,かお,face
お願い,おねがい,wish
危ない,あぶない,dangerous
机,つくえ,desk
元気,げんき,genki
希望,きぼう,request
季節,きせつ,season
日記,にっき,diary
起きる,おきる,to wake up
帰る,かえる,to return home
期間,きかん,period of time
客,きゃく,customer
九,きゅう,nine
久しぶり,ひさしぶり,long time no see
休む,やすむ,rest
研究,けんきゅう,research
泣,なく,cry
急ぐ,いそぐ,hurry
地球,ちきゅう,earth (sphere)
牛,うし,cow
魚,さかな,fish
御 (御飯),ご (御飯),honorific (rice/meal)
京都,きょうと,Kyoto (capital)
子供,こども,child
強い,つよい,strong
教える,おしえる,to teach
橋,ばし,bridge
卒業,そつぎょう,graduate
曲,きょく,song
玉,だま,ball
近い,ちかい,near
金/金曜日,きん/きんようび,gold/friday
銀,ぎん,silver
区,く,ward
文句/俳句,もんく/はいく,complaint/haiku
空,そら,sky
君,きみ,you (informal)
兄,あに,brother
形,かたち,shape
計画,けいかく,plan
血,ち,blood
決める,きめる,to decide
月/月曜日,つき/げつようび,moon/monday
犬,いぬ,dog
見る,みる,to see
研究,けんきゅう,research
県,けん,Prefecture
嫌い,きらい,hate
元気,げんき,genki
言う,いう,to say
原 (秋葉原),ばら（あきはばら）,high plain (Akihabara)
戸,ど,door
古い,ふるい,old
五/五つ,ご/いつつ,five
午前/午後,ごぜん/ごご,noon (before noon/after noon)
後,あと,after
語（日本語）,ご （にほんご）,language (Japanese)
口,くち,Mouth
工事,こうじ,construction
公園,こうえん,public park
広い,ひろい,wide
光,ひかり,light
好き,すき,Like
考える,かんがえる,to think
行く,いく,to go
幸せ,しあわせ,happiness
学校,がっこう,school
高い,たかい,expensive
港/空港,"みなと/くうこう
",Harbor/Airport
興味,きょうみ,interest
信号,しんご,traffic light
谷,たに,valley
国,こく,country
黒い,くろい,black
骨,ほね,bone
込む,こむ,to get crowded
今,いま,now
困る,こまる,trouble
左,ひだり,left
砂,すな,sand
座る,すわる,to sit
才,さい,age (casual)
祭,まつり,festival
最高,さいこう,the best/most/greatest
歳,さい,age
作る,つくる,make
昨,きのう,yesterday
咲,さく,bloom
皿,さら,plate
三/三つ,さん/みつ,three
山,やま,mountain
傘,かさ,umbrella
子供,こども,child
止まる,とまる,to stop
仕事,しごと,work/job
歴史,れきし,history
四,よん,four
市　（都市）,し・とし,city
死ぬ,しぬ,to die
糸,いと,string
私,わたし,me
使う,つかう,to use
始まる/始める,はじまる/はじめる,to start
姉 ,あね,older sister
思う,おもう,think
歯,は,tooth
試験,しけん,test
文字,もんじ,character/letter (of the alphabet)
寺,てら,temple
次,つぎ,next
耳,みみ,ear
自分,じぶん,oneself
事,こと,thing
持つ,もつ,hold
時,とき,time
結婚式,けっこんしき,wedding (ceremony)
七/七つ,しち/なな/ななつ,seven
室,しつ,room
質問,しつもん,question
実つ	,じつ,Actually...
写真,しゃしん,Photo
会社,かいしゃ,company
車,くるま,car
者（医者）,しゃ（いしゃ）,person (doctor)
若,わかい,young
弱,よわい,weak
手,て,hand
主人,しゅじん,head of household/landlord
取る,とる,take
首,くび,neck
酒,さけ,alchohal
受ける,うける,to recieve
舟,ふね,boat
秋,あき,fall 
臭い,くさい,smelly
終わる,おわる,to finish
練習,れんしゅう,practice
週　（週末）,しゅう　（しゅうまつ）,week (weekend)
集まる,あつまる,gather
十,じゅう・とお,ten
すむ,すむ,to live
重い,おもい,heavy
宿題,しゅくだい,homework
でる,でる,to go out
春,はる,spring
初めまして,はじめまして,first time